,date,temp,etp,precip
0,24-03-2022 00:00,3.7,0.0,0.0
1,24-03-2022 01:00,3.1,0.0,0.0
2,24-03-2022 02:00,2.8,0.0,0.0
3,24-03-2022 03:00,2.8,0.0,0.0
4,24-03-2022 04:00,3.2,0.0,0.0
5,24-03-2022 05:00,2.4,0.0,0.0
6,24-03-2022 06:00,2.2,0.0,0.0
7,24-03-2022 07:00,1.0,0.0,0.0
8,24-03-2022 08:00,2.0,0.0,0.0
9,24-03-2022 09:00,6.2,0.02,0.0
10,24-03-2022 10:00,11.2,0.07,0.0
11,24-03-2022 11:00,14.4,0.15,0.0
12,24-03-2022 12:00,16.0,0.22,0.0
13,24-03-2022 13:00,17.3,0.26,0.0
14,24-03-2022 14:00,18.0,0.27,0.0
15,24-03-2022 15:00,18.2,0.25,0.0
16,24-03-2022 16:00,18.2,0.22,0.0
17,24-03-2022 17:00,17.8,0.17,0.0
18,24-03-2022 18:00,16.3,0.12,0.0
19,24-03-2022 19:00,13.9,0.05,0.0
20,24-03-2022 20:00,11.4,0.02,0.0
21,24-03-2022 21:00,9.8,0.01,0.0
22,24-03-2022 22:00,8.8,0.01,0.0
23,24-03-2022 23:00,8.1,0.01,0.0
24,25-03-2022 00:00,7.5,0.01,0.0
25,25-03-2022 01:00,7.0,0.01,0.0
26,25-03-2022 02:00,6.4,0.01,0.0
27,25-03-2022 03:00,5.5,0.01,0.0
28,25-03-2022 04:00,4.5,0.0,0.0
29,25-03-2022 05:00,3.7,0.0,0.0
30,25-03-2022 06:00,3.0,0.0,0.0
31,25-03-2022 07:00,2.3,0.0,0.0
32,25-03-2022 08:00,3.4,0.01,0.0
33,25-03-2022 09:00,7.4,0.02,0.0
34,25-03-2022 10:00,11.8,0.07,0.0
35,25-03-2022 11:00,14.1,0.15,0.0
36,25-03-2022 12:00,15.9,0.21,0.0
37,25-03-2022 13:00,17.1,0.25,0.0
38,25-03-2022 14:00,17.6,0.27,0.0
39,25-03-2022 15:00,17.7,0.27,0.0
40,25-03-2022 16:00,17.6,0.23,0.0
41,25-03-2022 17:00,17.0,0.19,0.0
42,25-03-2022 18:00,15.6,0.13,0.0
43,25-03-2022 19:00,13.3,0.05,0.0
44,25-03-2022 20:00,11.5,0.02,0.0
45,25-03-2022 21:00,10.4,0.02,0.0
46,25-03-2022 22:00,9.2,0.02,0.0
47,25-03-2022 23:00,8.7,0.01,0.0
48,26-03-2022 00:00,8.3,0.01,0.0
49,26-03-2022 01:00,7.3,0.01,0.0
50,26-03-2022 02:00,6.2,0.01,0.0
51,26-03-2022 03:00,5.6,0.01,0.0
52,26-03-2022 04:00,5.1,0.01,0.0
53,26-03-2022 05:00,4.7,0.0,0.0
54,26-03-2022 06:00,4.2,0.0,0.0
55,26-03-2022 07:00,4.0,0.0,0.0
56,26-03-2022 08:00,5.8,0.01,0.0
57,26-03-2022 09:00,9.2,0.04,0.0
58,26-03-2022 10:00,11.8,0.09,0.0
59,26-03-2022 11:00,14.2,0.15,0.0
60,26-03-2022 12:00,16.0,0.21,0.0
61,26-03-2022 13:00,17.1,0.24,0.0
62,26-03-2022 14:00,17.4,0.25,0.0
63,26-03-2022 15:00,17.8,0.24,0.0
64,26-03-2022 16:00,17.8,0.21,0.0
65,26-03-2022 17:00,17.3,0.17,0.0
66,26-03-2022 18:00,16.5,0.11,0.0
67,26-03-2022 19:00,14.7,0.05,0.0
68,26-03-2022 20:00,12.3,0.02,0.0
69,26-03-2022 21:00,11.5,0.02,0.0
70,26-03-2022 22:00,10.6,0.02,0.0
71,26-03-2022 23:00,9.6,0.02,0.0
72,27-03-2022 00:00,8.6,0.01,0.0
73,27-03-2022 01:00,7.8,0.01,0.0
74,27-03-2022 02:00,7.2,0.01,0.0
75,27-03-2022 03:00,6.7,0.0,0.0
76,27-03-2022 04:00,6.1,0.0,0.0
77,27-03-2022 05:00,5.4,0.0,0.0
78,27-03-2022 06:00,4.8,0.0,0.0
79,27-03-2022 07:00,4.3,0.0,0.0
80,27-03-2022 08:00,5.2,0.0,0.0
81,27-03-2022 09:00,9.0,0.02,0.0
82,27-03-2022 10:00,12.5,0.08,0.0
83,27-03-2022 11:00,14.2,0.15,0.0
84,27-03-2022 12:00,15.8,0.2,0.0
85,27-03-2022 13:00,17.0,0.22,0.0
86,27-03-2022 14:00,17.8,0.23,0.0
87,27-03-2022 15:00,18.4,0.22,0.0
88,27-03-2022 16:00,18.4,0.19,0.0
89,27-03-2022 17:00,17.8,0.15,0.0
90,27-03-2022 18:00,16.8,0.09,0.0
91,27-03-2022 19:00,15.0,0.06,0.0
92,27-03-2022 20:00,13.3,0.03,0.0
93,27-03-2022 21:00,11.2,0.01,0.0
94,27-03-2022 22:00,8.9,0.0,0.0
95,27-03-2022 23:00,7.8,0.0,0.0
96,28-03-2022 00:00,6.9,0.0,0.0
97,28-03-2022 01:00,6.1,0.0,0.0
98,28-03-2022 02:00,5.7,0.0,0.0
99,28-03-2022 03:00,5.4,0.0,0.0
100,28-03-2022 04:00,5.2,0.0,0.0
101,28-03-2022 05:00,4.7,0.0,0.0
102,28-03-2022 06:00,4.2,0.0,0.0
103,28-03-2022 07:00,4.8,0.0,0.0
104,28-03-2022 08:00,7.1,0.01,0.0
105,28-03-2022 09:00,10.4,0.04,0.0
106,28-03-2022 10:00,14.3,0.08,0.0
107,28-03-2022 11:00,16.0,0.15,0.0
108,28-03-2022 12:00,17.2,0.21,0.0
109,28-03-2022 13:00,18.3,0.23,0.0
110,28-03-2022 14:00,18.7,0.24,0.0
111,28-03-2022 15:00,18.8,0.23,0.0
112,28-03-2022 16:00,18.4,0.19,0.0
113,28-03-2022 17:00,17.6,0.15,0.02
114,28-03-2022 18:00,16.6,0.09,0.02
115,28-03-2022 19:00,15.1,0.06,0.02
116,28-03-2022 20:00,14.2,0.04,0.04
117,28-03-2022 21:00,13.3,0.02,0.04
118,28-03-2022 22:00,12.1,0.01,0.04
119,28-03-2022 23:00,11.2,0.01,0.0
120,29-03-2022 00:00,10.3,0.01,0.0
121,29-03-2022 01:00,9.2,0.01,0.0
122,29-03-2022 02:00,8.5,0.0,0.0
123,29-03-2022 03:00,7.9,0.0,0.0
124,29-03-2022 04:00,7.2,0.0,0.0
125,29-03-2022 05:00,6.8,0.0,0.0
126,29-03-2022 06:00,6.6,0.0,0.0
127,29-03-2022 07:00,6.3,0.0,0.0
128,29-03-2022 08:00,8.8,0.01,0.0
129,29-03-2022 09:00,10.1,0.03,0.0
130,29-03-2022 10:00,11.7,0.05,0.0
131,29-03-2022 11:00,12.7,0.08,0.01
132,29-03-2022 12:00,13.6,0.12,0.01
133,29-03-2022 13:00,14.5,0.13,0.01
134,29-03-2022 14:00,15.0,0.14,0.0
135,29-03-2022 15:00,15.3,0.14,0.0
136,29-03-2022 16:00,15.1,0.13,0.0
137,29-03-2022 17:00,14.5,0.11,0.0
138,29-03-2022 18:00,13.6,0.08,0.0
139,29-03-2022 19:00,12.1,0.06,0.0
140,29-03-2022 20:00,10.9,0.04,0.0
141,29-03-2022 21:00,9.5,0.02,0.0
142,29-03-2022 22:00,7.9,0.01,0.0
143,29-03-2022 23:00,6.9,0.01,0.0
144,30-03-2022 00:00,6.0,0.01,0.0
145,30-03-2022 01:00,5.0,0.01,0.0
146,30-03-2022 02:00,4.2,0.0,0.0
147,30-03-2022 03:00,3.5,0.0,0.0
148,30-03-2022 04:00,2.7,0.0,0.0
149,30-03-2022 05:00,2.1,0.0,0.0
150,30-03-2022 06:00,1.6,0.0,0.0
151,30-03-2022 07:00,1.6,0.01,0.0
152,30-03-2022 08:00,2.6,0.02,0.0
153,30-03-2022 09:00,4.0,0.03,0.0
154,30-03-2022 10:00,5.9,0.05,0.0
155,30-03-2022 11:00,6.8,0.08,0.0
156,30-03-2022 12:00,7.6,0.1,0.0
157,30-03-2022 13:00,8.2,0.11,0.0
158,30-03-2022 14:00,8.3,0.11,0.0
159,30-03-2022 15:00,8.1,0.11,0.0
160,30-03-2022 16:00,7.5,0.1,0.0
161,30-03-2022 17:00,7.0,0.08,0.0
162,30-03-2022 18:00,6.2,0.06,0.0
163,30-03-2022 19:00,5.2,0.05,0.0
164,30-03-2022 20:00,4.3,0.04,0.0
165,30-03-2022 21:00,3.5,0.03,0.0
166,30-03-2022 22:00,2.3,0.02,0.0
167,30-03-2022 23:00,1.5,0.02,0.0
